Month;MunicipalityNo;CapacityGe100MW;CapacityLt100MW;OffshoreWindCapacity;OnshoreWindCapacity;SolarPowerCapacity;NumberGenerationUnitsGe100MW;NumberGenerationUnitsLt100MW;NumberOffshoreWindGenerators;NumberOnshoreWindGenerators;NumberSolarPanels
2020-03-01 00:00;860;;100.152;;123.242;15.9862;0;22;0;249;1687
2020-03-01 00:00;851;410.0;63.576;;159.2347;16.0161;1;36;0;199;3217
2020-03-01 00:00;849;;22.384;;175.8395;9.2403;0;15;0;204;1418
2020-03-01 00:00;846;;10.663;;74.6253;8.4035;0;15;0;81;1482
2020-03-01 00:00;840;;18.856;;48.87;5.6704;0;14;0;80;1289
2020-03-01 00:00;825;;0.0531;;0.18;7.4941;0;10;0;1;137
2020-03-01 00:00;820;;20.387;;123.324;6.3466;0;18;0;146;1441
2020-03-01 00:00;813;;46.612;7.6;49.08;9.6506;0;23;3;93;1571
2020-03-01 00:00;810;;50.788;;92.7002;7.1682;0;22;0;103;1023
2020-03-01 00:00;791;;107.652;;61.719;18.4343;0;37;0;93;2950
2020-03-01 00:00;787;;27.663;;152.5369;53.3209;0;22;0;542;1946
2020-03-01 00:00;779;;33.092;;118.0688;12.8325;0;28;0;177;2128
2020-03-01 00:00;773;;14.808;;78.7945;30.0345;0;12;0;176;674
2020-03-01 00:00;766;;12.995;;28.0065;10.0081;0;6;0;68;1925
2020-03-01 00:00;760;;64.846;;489.7229;33.4912;0;30;0;368;2178
2020-03-01 00:00;756;;48.52;;67.4045;8.1258;0;27;0;62;1174
2020-03-01 00:00;751;760.0;85.195;;11.4315;28.9058;2;25;0;35;4551
2020-03-01 00:00;746;;5.5876;;17.0575;8.429;0;9;0;20;1735
2020-03-01 00:00;741;;;23.0;11.407;1.4331;0;0;10;27;243
2020-03-01 00:00;740;;113.738;;20.341;26.7583;0;14;0;49;2652
2020-03-01 00:00;730;;87.155;;158.5955;12.9974;0;10;0;144;1880
2020-03-01 00:00;727;;6.22;5.0;9.607;3.2842;0;4;10;14;682
2020-03-01 00:00;710;;22.3076;;34.969;7.2363;0;23;0;58;1257
2020-03-01 00:00;707;;25.509;399.6;52.668;5.6559;0;3;111;91;936
2020-03-01 00:00;706;;0.756;;18.8675;8.0184;0;4;0;47;1399
2020-03-01 00:00;671;;1.047;;50.356;3.8705;0;1;0;94;708
2020-03-01 00:00;665;;26.59;45.2;150.078;44.4171;0;12;12;201;897
2020-03-01 00:00;661;;43.972;;215.3786;24.2645;0;10;0;191;1740
2020-03-01 00:00;657;;107.222;;126.5351;13.7947;0;17;0;145;2013
2020-03-01 00:00;630;;19.332;;53.6127;92.9538;0;12;0;78;3188
2020-03-01 00:00;621;;15.15;;34.387;12.7222;0;10;0;44;1839
2020-03-01 00:00;615;;40.911;;3.59;11.2881;0;6;0;14;2149
2020-03-01 00:00;607;427.0;28.422;;2.278;6.8029;1;5;0;8;879
2020-03-01 00:00;580;;5.788;;84.459;30.05;0;13;0;108;1531
2020-03-01 00:00;575;;10.761;;61.132;8.7537;0;12;0;98;1322
2020-03-01 00:00;573;;16.299;;100.094;13.2929;0;17;0;140;1815
2020-03-01 00:00;563;;;;1.98;0.8134;0;0;0;3;152
2020-03-01 00:00;561;401.0;71.187;776.0;67.5714;12.9982;1;14;220;70;1881
2020-03-01 00:00;550;;77.007;;175.648;8.7413;0;41;0;339;1418
2020-03-01 00:00;540;;85.216;;14.0145;36.7141;0;16;0;35;1854
2020-03-01 00:00;530;;38.499;;92.599;6.2182;0;16;0;64;803
2020-03-01 00:00;510;;47.931;;40.813;10.458;0;27;0;68;1556
2020-03-01 00:00;492;;0.75;;12.026;1.4983;0;1;0;9;304
2020-03-01 00:00;482;;;;43.806;2.262;0;0;0;67;341
2020-03-01 00:00;480;;21.192;;26.437;5.0839;0;13;0;54;856
2020-03-01 00:00;479;;26.451;;34.633;11.5438;0;14;0;53;1299
2020-03-01 00:00;461;372.0;133.684;;11.158;10.5989;1;39;0;17;1546
2020-03-01 00:00;450;;19.113;;28.993;3.2684;0;5;0;40;596
2020-03-01 00:00;440;;5.846;;24.951;3.313;0;6;0;17;472
2020-03-01 00:00;430;;30.884;;15.779;9.2397;0;19;0;35;1427
2020-03-01 00:00;420;;36.064;;31.187;8.0227;0;19;0;57;1184
2020-03-01 00:00;410;;8.293;;13.6305;6.6371;0;8;0;26;1096
2020-03-01 00:00;400;;108.538;;37.1446;21.9749;0;9;0;88;1048
2020-03-01 00:00;390;;101.041;;17.8485;8.1474;0;11;0;58;1110
2020-03-01 00:00;376;;38.704;;59.0575;18.5772;0;7;0;144;1378
