HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR
2020-03-10 22:00,2020-03-10 23:00,DK1,36.83,4.93
2020-03-10 21:00,2020-03-10 22:00,DK1,67.47,9.03
2020-03-10 20:00,2020-03-10 21:00,DK1,88.09,11.79
2020-03-10 19:00,2020-03-10 20:00,DK1,79.12,10.59
2020-03-10 18:00,2020-03-10 19:00,DK1,83.23,11.14
2020-03-10 17:00,2020-03-10 18:00,DK1,86.59,11.59
2020-03-10 16:00,2020-03-10 17:00,DK1,86.89,11.63
2020-03-10 15:00,2020-03-10 16:00,DK1,82.41,11.03
2020-03-10 14:00,2020-03-10 15:00,DK1,83.6,11.19
2020-03-10 13:00,2020-03-10 14:00,DK1,83.16,11.13
2020-03-10 12:00,2020-03-10 13:00,DK1,86.15,11.53
2020-03-10 11:00,2020-03-10 12:00,DK1,89.28,11.95
2020-03-10 10:00,2020-03-10 11:00,DK1,94.96,12.71
2020-03-10 09:00,2020-03-10 10:00,DK1,100.19,13.41
2020-03-10 08:00,2020-03-10 09:00,DK1,99.15,13.27
2020-03-10 07:00,2020-03-10 08:00,DK1,134.93,18.06
2020-03-10 06:00,2020-03-10 07:00,DK1,211.44,28.3
2020-03-10 05:00,2020-03-10 06:00,DK1,88.31,11.82
2020-03-10 04:00,2020-03-10 05:00,DK1,73.67,9.86
2020-03-10 03:00,2020-03-10 04:00,DK1,74.19,9.93
2020-03-10 02:00,2020-03-10 03:00,DK1,69.19,9.26
2020-03-10 01:00,2020-03-10 02:00,DK1,66.94,8.96
2020-03-10 00:00,2020-03-10 01:00,DK1,68.66,9.19
2020-03-09 23:00,2020-03-10 00:00,DK1,137.77,18.44
2020-03-09 22:00,2020-03-09 23:00,DK1,199.35,26.68
2020-03-09 21:00,2020-03-09 22:00,DK1,261.29,34.97
2020-03-09 20:00,2020-03-09 21:00,DK1,268.84,35.98
2020-03-09 19:00,2020-03-09 20:00,DK1,302.61,40.5
2020-03-09 18:00,2020-03-09 19:00,DK1,440.69,58.98
2020-03-09 17:00,2020-03-09 18:00,DK1,404.68,54.16
