HourUTC,HourDK,mFRR_DownExpected,mFRR_DownPurchased,mFRR_DownPriceDKK,mFRR_DownPriceEUR,mFRR_DownExpectedXtra,mFRR_DownPurchasedXtra,mFRR_DownPriceXtraDKK,mFRR_DownPriceXtraEUR,mFRR_UpExpected,mFRR_UpPurchased,mFRR_UpPriceDKK,mFRR_UpPriceEUR,mFRR_UpExpectedXtra,mFRR_UpPurchasedXtra,mFRR_UpPriceXtraDKK,mFRR_UpPriceXtraEUR
2020-03-10 22:00,2020-03-10 23:00,0,0,0,0,0,,,,284,287.8,1,0.13,0,,,
2020-03-10 21:00,2020-03-10 22:00,0,0,0,0,0,,,,284,287.8,1,0.13,0,,,
2020-03-10 20:00,2020-03-10 21:00,0,0,0,0,0,,,,284,287.8,1,0.13,0,,,
2020-03-10 19:00,2020-03-10 20:00,0,0,0,0,0,,,,284,284,1,0.13,0,,,
2020-03-10 18:00,2020-03-10 19:00,0,0,0,0,0,,,,284,286,3,0.4,0,,,
2020-03-10 17:00,2020-03-10 18:00,0,0,0,0,0,,,,284,295.7,3,0.4,0,,,
2020-03-10 16:00,2020-03-10 17:00,0,0,0,0,0,,,,284,294.9,3,0.4,0,,,
2020-03-10 15:00,2020-03-10 16:00,0,0,0,0,0,,,,284,284.6,2,0.27,0,,,
2020-03-10 14:00,2020-03-10 15:00,0,0,0,0,0,,,,284,288.8,3,0.4,0,,,
2020-03-10 13:00,2020-03-10 14:00,0,0,0,0,0,,,,284,284.6,2,0.27,0,,,
2020-03-10 12:00,2020-03-10 13:00,0,0,0,0,0,,,,284,288.6,3,0.4,0,,,
2020-03-10 11:00,2020-03-10 12:00,0,0,0,0,0,,,,284,288.6,3,0.4,0,,,
2020-03-10 10:00,2020-03-10 11:00,0,0,0,0,0,,,,284,289.1,3,0.4,0,,,
2020-03-10 09:00,2020-03-10 10:00,0,0,0,0,0,,,,284,287.4,3,0.4,0,,,
2020-03-10 08:00,2020-03-10 09:00,0,0,0,0,0,,,,284,284.3,3,0.4,0,,,
2020-03-10 07:00,2020-03-10 08:00,0,0,0,0,0,,,,284,284.3,3,0.4,0,,,
2020-03-10 06:00,2020-03-10 07:00,0,0,0,0,0,,,,284,286.5,3,0.4,0,,,
2020-03-10 05:00,2020-03-10 06:00,0,0,0,0,0,,,,284,297.6,2,0.27,0,,,
2020-03-10 04:00,2020-03-10 05:00,0,0,0,0,0,,,,284,287.7,1,0.13,0,,,
2020-03-10 03:00,2020-03-10 04:00,0,0,0,0,0,,,,284,287.7,1,0.13,0,,,
2020-03-10 02:00,2020-03-10 03:00,0,0,0,0,0,,,,284,287.7,1,0.13,0,,,
