;Hours;Price up;Price down;Dominating direction;Imbalance price consumption;Imbalance price production purchase;Imbalance price production sale;Volume up;Volume down
01-01-2017;00 - 01;155,79;114,39;D;114,39;155,79;114,39;0;0
01-01-2017;01 - 02;186,17;155,34;U;186,17;186,17;155,34;0;0
01-01-2017;02 - 03;186,17;134,75;U;186,17;186,17;134,75;0;0
01-01-2017;03 - 04;119,15;119,15;;119,15;119,15;119,15;0;0
01-01-2017;04 - 05;122,12;122,12;;122,12;122,12;122,12;0;0
01-01-2017;05 - 06;102,2;102,2;;102,2;102,2;102,2;0;0
01-01-2017;06 - 07;82,5;82,5;;82,5;82,5;82,5;0;0
01-01-2017;07 - 08;114,98;114,98;;114,98;114,98;114,98;0;0
01-01-2017;08 - 09;125,46;125,46;;125,46;125,46;125,46;0;0
01-01-2017;09 - 10;162,11;136,76;D;136,76;162,11;136,76;0;0
01-01-2017;10 - 11;195,03;134,81;D;134,81;195,03;134,81;0;-12
01-01-2017;11 - 12;204,25;182,1;D;182,1;204,25;182,1;0;-21
01-01-2017;12 - 13;208,41;193,25;D;193,25;208,41;193,25;0;0
01-01-2017;13 - 14;213,32;213,32;;213,32;213,32;213,32;0;0
01-01-2017;14 - 15;220,45;179,75;D;179,75;220,45;179,75;0;-17
01-01-2017;15 - 16;225,81;179,75;D;179,75;225,81;179,75;0;-21
01-01-2017;16 - 17;228,93;228,93;;228,93;228,93;228,93;0;0
01-01-2017;17 - 18;229,89;229,89;;229,89;229,89;229,89;0;0
01-01-2017;18 - 19;228,78;228,78;;228,78;228,78;228,78;0;0
01-01-2017;19 - 20;226,77;226,77;;226,77;226,77;226,77;0;0
01-01-2017;20 - 21;224,39;224,39;;224,39;224,39;224,39;0;0
01-01-2017;21 - 22;222,54;222,54;;222,54;222,54;222,54;0;0
01-01-2017;22 - 23;220,38;220,38;;220,38;220,38;220,38;0;0
01-01-2017;23 - 00;218,22;218,22;;218,22;218,22;218,22;0;0
02-01-2017;00 - 01;218,53;218,53;;218,53;218,53;218,53;0;0
02-01-2017;01 - 02;214,89;183,81;D;183,81;214,89;183,81;0;0
02-01-2017;02 - 03;208,94;183,81;D;183,81;208,94;183,81;0;0
02-01-2017;03 - 04;207,3;207,3;;207,3;207,3;207,3;0;0
02-01-2017;04 - 05;206,11;206,11;;206,11;206,11;206,11;0;0
02-01-2017;05 - 06;226,18;226,18;;226,18;226,18;226,18;0;0
02-01-2017;06 - 07;244,17;244,17;;244,17;244,17;244,17;0;0
02-01-2017;07 - 08;252,05;252,05;;252,05;252,05;252,05;0;0
02-01-2017;08 - 09;259,19;212,4;D;212,4;259,19;212,4;0;0
02-01-2017;09 - 10;261,79;212,4;D;212,4;261,79;212,4;0;0
02-01-2017;10 - 11;263,2;220,57;D;220,57;263,2;220,57;0;0
02-01-2017;11 - 12;260,67;260,67;;260,67;260,67;260,67;0;0
02-01-2017;12 - 13;259,04;259,04;;259,04;259,04;259,04;0;0
02-01-2017;13 - 14;257,92;257,92;;257,92;257,92;257,92;0;0
02-01-2017;14 - 15;258,66;258,66;;258,66;258,66;258,66;0;0
02-01-2017;15 - 16;267,06;267,06;;267,06;267,06;267,06;0;0
02-01-2017;16 - 17;279,88;278,88;U;279,88;279,88;278,88;9;0
02-01-2017;17 - 18;287,02;286,02;U;287,02;287,02;286,02;92;0
02-01-2017;18 - 19;279,04;274,13;U;279,04;279,04;274,13;0;0
02-01-2017;19 - 20;264,02;264,02;;264,02;264,02;264,02;0;0
02-01-2017;20 - 21;261,86;261,86;;261,86;261,86;261,86;0;0
02-01-2017;21 - 22;258,22;220,57;D;220,57;258,22;220,57;0;0
02-01-2017;22 - 23;245,21;220,57;D;220,57;245,21;220,57;0;0
02-01-2017;23 - 00;229,6;229,6;;229,6;229,6;229,6;0;0
03-01-2017;00 - 01;241,49;227,85;U;241,49;241,49;227,85;0;0
03-01-2017;01 - 02;240,12;225,77;U;240,12;240,12;225,77;0;0
03-01-2017;02 - 03;240,12;224,14;U;240,12;240,12;224,14;0;0
03-01-2017;03 - 04;224,06;224,06;;224,06;224,06;224,06;0;0
03-01-2017;04 - 05;225,99;225,99;;225,99;225,99;225,99;0;0
03-01-2017;05 - 06;228,6;228,6;;228,6;228,6;228,6;0;0
03-01-2017;06 - 07;230,6;208,15;D;208,15;230,6;208,15;0;0
