date;Hours;Price up;Price down;Dominating direction;Imbalance price consumption;Imbalance price production purchase;Imbalance price production sale;Volume up;Volume down
01-01-2019;00 - 01;211,45;211,45;;211,45;211,45;211,45;0;0
01-01-2019;01 - 02;75,19;75,19;;75,19;75,19;75,19;0;0
01-01-2019;02 - 03;-30,46;-30,46;;-30,46;-30,46;-30,46;0;0
01-01-2019;03 - 04;-73,99;-73,99;;-73,99;-73,99;-73,99;0;0
01-01-2019;04 - 05;-55,33;-55,33;;-55,33;-55,33;-55,33;0;0
01-01-2019;05 - 06;-93,71;-93,71;;-93,71;-93,71;-93,71;0;0
01-01-2019;06 - 07;-128,8;-128,8;;-128,8;-128,8;-128,8;0;0
01-01-2019;07 - 08;-112,52;-112,52;;-112,52;-112,52;-112,52;0;0
01-01-2019;08 - 09;-36,81;-36,81;;-36,81;-36,81;-36,81;0;0
01-01-2019;09 - 10;-47,26;-47,26;;-47,26;-47,26;-47,26;0;0
01-01-2019;10 - 11;-36,81;-36,81;;-36,81;-36,81;-36,81;0;0
01-01-2019;11 - 12;3,36;3,36;;3,36;3,36;3,36;0;0
01-01-2019;12 - 13;0,9;0,9;;0,9;0,9;0,9;0;0
01-01-2019;13 - 14;-0,15;-0,15;;-0,15;-0,15;-0,15;0;0
01-01-2019;14 - 15;0;0;;0;0;0;0;0
01-01-2019;15 - 16;-0,22;-0,22;;-0,22;-0,22;-0,22;0;0
01-01-2019;16 - 17;14,71;14,71;;14,71;14,71;14,71;0;0
01-01-2019;17 - 18;405,3;67,65;U;405,3;405,3;67,65;35;0
01-01-2019;18 - 19;0,52;0,52;;0,52;0,52;0,52;0;0
01-01-2019;19 - 20;-37,11;-37,11;;-37,11;-37,11;-37,11;0;0
01-01-2019;20 - 21;-52,12;-52,12;;-52,12;-52,12;-52,12;0;0
01-01-2019;21 - 22;-119,54;-119,54;;-119,54;-119,54;-119,54;0;0
01-01-2019;22 - 23;-36,36;-36,36;;-36,36;-36,36;-36,36;0;0
01-01-2019;23 - 00;-216,01;-216,01;;-216,01;-216,01;-216,01;0;0
02-01-2019;00 - 01;-250,61;-250,61;;-250,61;-250,61;-250,61;0;0
02-01-2019;01 - 02;-342,81;-342,81;;-342,81;-342,81;-342,81;0;0
02-01-2019;02 - 03;-360,5;-360,5;;-360,5;-360,5;-360,5;0;0
02-01-2019;03 - 04;-250,83;-250,83;;-250,83;-250,83;-250,83;0;0
02-01-2019;04 - 05;-250,39;-250,39;;-250,39;-250,39;-250,39;0;0
02-01-2019;05 - 06;-132,81;-132,81;;-132,81;-132,81;-132,81;0;0
02-01-2019;06 - 07;-0,07;-0,07;;-0,07;-0,07;-0,07;0;0
02-01-2019;07 - 08;279,43;279,43;;279,43;279,43;279,43;0;0
02-01-2019;08 - 09;358,78;339,19;D;339,19;358,78;339,19;0;0
02-01-2019;09 - 10;378,79;335,46;D;335,46;378,79;335,46;0;0
02-01-2019;10 - 11;359,16;335,86;D;335,86;359,16;335,86;0;0
02-01-2019;11 - 12;363,26;339,19;D;339,19;363,26;339,19;0;0
02-01-2019;12 - 13;372,82;331,73;D;331,73;372,82;331,73;0;0
02-01-2019;13 - 14;352,81;331,73;D;331,73;352,81;331,73;0;0
02-01-2019;14 - 15;370,58;335,94;D;335,94;370,58;335,94;0;0
02-01-2019;15 - 16;400,66;359,83;D;359,83;400,66;359,83;0;0
02-01-2019;16 - 17;418,13;356,96;D;356,96;418,13;356,96;0;0
02-01-2019;17 - 18;425,15;361,55;D;361,55;425,15;361,55;0;-5
02-01-2019;18 - 19;413,5;365,8;D;365,8;413,5;365,8;0;-5
02-01-2019;19 - 20;409,84;365,8;D;365,8;409,84;365,8;0;-4
02-01-2019;20 - 21;402,08;365,28;D;365,28;402,08;365,28;0;-5
02-01-2019;21 - 22;393,5;365,28;D;365,28;393,5;365,28;0;-5
