date;Hours;Up;Down
01-01-2017;00 - 01;0;675,2
01-01-2017;01 - 02;0;605,7
01-01-2017;02 - 03;0;491,2
01-01-2017;03 - 04;0;272,3
01-01-2017;04 - 05;0;346,3
01-01-2017;05 - 06;0;139,4
01-01-2017;06 - 07;0;0
01-01-2017;07 - 08;0;0
01-01-2017;08 - 09;0;0
01-01-2017;09 - 10;0;0
01-01-2017;10 - 11;0;0
01-01-2017;11 - 12;0;0
01-01-2017;12 - 13;0;0
01-01-2017;13 - 14;0;0
01-01-2017;14 - 15;0;0
01-01-2017;15 - 16;0;0,4
01-01-2017;16 - 17;0;0
01-01-2017;17 - 18;0;0
01-01-2017;18 - 19;0;0
01-01-2017;19 - 20;0;0
01-01-2017;20 - 21;0;0
01-01-2017;21 - 22;0;0
01-01-2017;22 - 23;0;0
01-01-2017;23 - 00;0;0
02-01-2017;00 - 01;0;0
02-01-2017;01 - 02;0;175,3
02-01-2017;02 - 03;0;173,2
02-01-2017;03 - 04;0;0
02-01-2017;04 - 05;0;0
02-01-2017;05 - 06;0;0
02-01-2017;06 - 07;0;0
02-01-2017;07 - 08;0;0
02-01-2017;08 - 09;0;0
02-01-2017;09 - 10;0;0
02-01-2017;10 - 11;0;0
02-01-2017;11 - 12;0;0
02-01-2017;12 - 13;0;0
02-01-2017;13 - 14;0;0
02-01-2017;14 - 15;0;0
02-01-2017;15 - 16;0;0
02-01-2017;16 - 17;0;0
02-01-2017;17 - 18;0;0
02-01-2017;18 - 19;0;0
02-01-2017;19 - 20;0;386,8
02-01-2017;20 - 21;0;397,7
02-01-2017;21 - 22;0;395,6
02-01-2017;22 - 23;0;234,7
02-01-2017;23 - 00;0;359
03-01-2017;00 - 01;0;188,3
03-01-2017;01 - 02;0;0
03-01-2017;02 - 03;0;0
03-01-2017;03 - 04;0;0
03-01-2017;04 - 05;0;191
03-01-2017;05 - 06;0;289,9
03-01-2017;06 - 07;0;296,9
03-01-2017;07 - 08;0;300,1
03-01-2017;08 - 09;0;460,4
03-01-2017;09 - 10;0;487,8
03-01-2017;10 - 11;0;484,8
03-01-2017;11 - 12;0;387,3
03-01-2017;12 - 13;0;385,3
03-01-2017;13 - 14;0;327,6
03-01-2017;14 - 15;0;682,3
03-01-2017;15 - 16;0;593,8
03-01-2017;16 - 17;0;583,5
03-01-2017;17 - 18;0;420,7
03-01-2017;18 - 19;0;637,7
03-01-2017;19 - 20;0;673,4
03-01-2017;20 - 21;0;575,7
03-01-2017;21 - 22;0;531,5
03-01-2017;22 - 23;0;487,9
03-01-2017;23 - 00;0;444,3
04-01-2017;00 - 01;0;301,5
04-01-2017;01 - 02;0;0
04-01-2017;02 - 03;0;0
04-01-2017;03 - 04;0;0
04-01-2017;04 - 05;0;0
04-01-2017;05 - 06;0;0
04-01-2017;06 - 07;0;0
04-01-2017;07 - 08;0;192
04-01-2017;08 - 09;0;520,3
04-01-2017;09 - 10;0;468,5
04-01-2017;10 - 11;0;492
04-01-2017;11 - 12;0;495,9
04-01-2017;12 - 13;0;491,7
04-01-2017;13 - 14;0;491,4
04-01-2017;14 - 15;0;496,9
04-01-2017;15 - 16;0;495,9
04-01-2017;16 - 17;0;497,9
04-01-2017;17 - 18;0;478,1
04-01-2017;18 - 19;0;335,7
04-01-2017;19 - 20;0;269
04-01-2017;20 - 21;0;274,6
04-01-2017;21 - 22;0;102,8
04-01-2017;22 - 23;0;108,8
04-01-2017;23 - 00;0;0
05-01-2017;00 - 01;0;286,8
05-01-2017;01 - 02;0;281,5
05-01-2017;02 - 03;0;192
05-01-2017;03 - 04;0;178,9
05-01-2017;04 - 05;0;0
05-01-2017;05 - 06;0;0
05-01-2017;06 - 07;0;0
05-01-2017;07 - 08;0;0
05-01-2017;08 - 09;0;0
05-01-2017;09 - 10;0;0
05-01-2017;10 - 11;0;0
05-01-2017;11 - 12;0;0
05-01-2017;12 - 13;0;0
05-01-2017;13 - 14;0;0
05-01-2017;14 - 15;0;0
05-01-2017;15 - 16;0;0
05-01-2017;16 - 17;0;0
05-01-2017;17 - 18;0;0
05-01-2017;18 - 19;0;0
05-01-2017;19 - 20;0;0
05-01-2017;20 - 21;0;0
