date;Hours;Up;Down
01-01-2019;00 - 01;0;1413,8
01-01-2019;01 - 02;0;1276,2
01-01-2019;02 - 03;0;1068
01-01-2019;03 - 04;0;945,2
01-01-2019;04 - 05;0;1046,7
01-01-2019;05 - 06;0;873,1
01-01-2019;06 - 07;0;242,8
01-01-2019;07 - 08;0;235,6
01-01-2019;08 - 09;0;780,5
01-01-2019;09 - 10;0;490,3
01-01-2019;10 - 11;0;678,8
01-01-2019;11 - 12;0;991
01-01-2019;12 - 13;0;1101
01-01-2019;13 - 14;0;635,3
01-01-2019;14 - 15;0;337,3
01-01-2019;15 - 16;0;0
01-01-2019;16 - 17;0;381,8
01-01-2019;17 - 18;0;0
01-01-2019;18 - 19;0;207,6
01-01-2019;19 - 20;0;200,8
01-01-2019;20 - 21;0;192,9
01-01-2019;21 - 22;0;0
01-01-2019;22 - 23;0;619,8
01-01-2019;23 - 00;0;207,2
02-01-2019;00 - 01;0;0
02-01-2019;01 - 02;0;0
02-01-2019;02 - 03;0;0
02-01-2019;03 - 04;0;0
02-01-2019;04 - 05;0;0
02-01-2019;05 - 06;0;0
02-01-2019;06 - 07;0;0
02-01-2019;07 - 08;0;54,8
02-01-2019;08 - 09;0;53,5
02-01-2019;09 - 10;0;167,4
02-01-2019;10 - 11;0;0
02-01-2019;11 - 12;0;0
02-01-2019;12 - 13;0;0
02-01-2019;13 - 14;0;0
02-01-2019;14 - 15;0;0
02-01-2019;15 - 16;0;279,5
02-01-2019;16 - 17;0;274,1
02-01-2019;17 - 18;0;0
02-01-2019;18 - 19;0;0
02-01-2019;19 - 20;0;0
02-01-2019;20 - 21;0;0
02-01-2019;21 - 22;0;0
02-01-2019;22 - 23;0;0
02-01-2019;23 - 00;0;0
03-01-2019;00 - 01;0;0
03-01-2019;01 - 02;0;0
03-01-2019;02 - 03;0;0
03-01-2019;03 - 04;0;0
03-01-2019;04 - 05;0;0
03-01-2019;05 - 06;0;0
03-01-2019;06 - 07;0;0
03-01-2019;07 - 08;0;0
03-01-2019;08 - 09;0;0
03-01-2019;09 - 10;0;0
03-01-2019;10 - 11;0;0
03-01-2019;11 - 12;0;0
03-01-2019;12 - 13;0;0
03-01-2019;13 - 14;0;0
03-01-2019;14 - 15;0;0
03-01-2019;15 - 16;0;0
03-01-2019;16 - 17;0;0
03-01-2019;17 - 18;0;0
03-01-2019;18 - 19;0;0
03-01-2019;19 - 20;0;0
03-01-2019;20 - 21;0;0
03-01-2019;21 - 22;0;0
03-01-2019;22 - 23;0;0
03-01-2019;23 - 00;0;0
04-01-2019;00 - 01;0;186,8
04-01-2019;01 - 02;0;223,9
04-01-2019;02 - 03;0;0
04-01-2019;03 - 04;0,7;0
04-01-2019;04 - 05;0;0
04-01-2019;05 - 06;0;225,8
04-01-2019;06 - 07;0;194,8
04-01-2019;07 - 08;0;1193,7
04-01-2019;08 - 09;0;1493,3
04-01-2019;09 - 10;0;1422,4
04-01-2019;10 - 11;0;1234,9
04-01-2019;11 - 12;0;1314,4
04-01-2019;12 - 13;0;494,4
04-01-2019;13 - 14;0;504,9
04-01-2019;14 - 15;0;820,8
04-01-2019;15 - 16;0;937,5
04-01-2019;16 - 17;0;1716,4
04-01-2019;17 - 18;0;1604,6
04-01-2019;18 - 19;0;1347,7
04-01-2019;19 - 20;0;1264,3
04-01-2019;20 - 21;0;237,3
04-01-2019;21 - 22;0;109
04-01-2019;22 - 23;0;310,3
04-01-2019;23 - 00;0;256,7
05-01-2019;00 - 01;0;89,4
05-01-2019;01 - 02;0;0
05-01-2019;02 - 03;0;29,8
05-01-2019;03 - 04;0;348,4
05-01-2019;04 - 05;0;187,3
05-01-2019;05 - 06;0;0
05-01-2019;06 - 07;0;0
05-01-2019;07 - 08;0;0
05-01-2019;08 - 09;0;0
05-01-2019;09 - 10;0;0
05-01-2019;10 - 11;0;0
05-01-2019;11 - 12;0;0
05-01-2019;12 - 13;0;0
05-01-2019;13 - 14;0;145,8
05-01-2019;14 - 15;0;293,3
05-01-2019;15 - 16;0;578,4
05-01-2019;16 - 17;0;540,4
05-01-2019;17 - 18;0;426,6
05-01-2019;18 - 19;0;409,8
05-01-2019;19 - 20;0;388,9
05-01-2019;20 - 21;0;239,6
05-01-2019;21 - 22;0;92,8
05-01-2019;22 - 23;0;0
05-01-2019;23 - 00;0;0
06-01-2019;00 - 01;0;0
06-01-2019;01 - 02;0;0
06-01-2019;02 - 03;0;0
06-01-2019;03 - 04;0;0
06-01-2019;04 - 05;0;0
06-01-2019;05 - 06;0;0
06-01-2019;06 - 07;0;0
06-01-2019;07 - 08;0;0
06-01-2019;08 - 09;0;0
06-01-2019;09 - 10;0;0
06-01-2019;10 - 11;0;0
